STT,SoPhong,TenHangPhong,DienTich,SucChua,GiaNiemYetVND,PhuThuGiuongPhuVND,HuongView
1,#01,Phong gia dinh nhin ra bien,28m2,4,1886000,450000,View bien & san vuon
2,#02,Phong giuong doi nhin ra vuon,24m2,3,1546000,410000,View san vuon
3,#03-04,Phong giuong doi co ban cong nhin ra bien,15m2,2,1546000,0,View bien & thung lung
4,#05,Phong tieu chuan giuong doi (Luc Giac Kinh),21m2,2,1546000,0,View kinh 360 bien & vuon
5,#06,Phong Deluxe view bien & ho boi,20m2,2,1776000,0,View bien & ho boi
6,#07,Phong Superior King (Bon Suc Jacuzzi),53m2,4,2971000,410000,Ngam Binh Minh & Hoang Hon
7,#08,Phong gia dinh view bien (Gac Lung),40m2,4,3088000,0,View bien & Cho Dem
8,#09,Phong gia dinh view bien (Gac Lung),40m2,4,3088000,0,View bien & Cho Dem
9,#10,Phong giuong doi co san trong,20m2,3,1776000,410000,View san trong & vuon
10,#11,Phong gia dinh view bien,30m2,4,3088000,0,View bien truc dien
11,#12,Phong giuong doi co ban cong,19m2,2,1862000,0,View bien
12,#13,Second Floor Family with Sea View,35m2,4,3088000,0,View bien tang 2
13,#14,Rock Deluxe Room (Phong Hang Da),21m2,2,1776000,0,Hang da tu nhien & san vuon
14,#15,Phong giuong doi tieu chuan,18m2,2,1587000,0,View san vuon
15,#16,First Floor Family with Sea View,31m2,4,2987000,0,View bien & rung cay
16,#17,Phong 03 nguoi Huong thung lung / bien,26m2,3,2411000,0,View bien & thung lung
17,#18,Phong 03 nguoi Co ban cong,32m2,3,2411000,0,View ban cong thung lung / bien
18,#08-09,Suite 02 phong ngu (08 khach),70m2,8,5662000,0,View trung tam bien & Cho Dem
19,#10-11,Suite 02 phong ngu (06 khach),50m2,6,4287000,0,View bien truc dien
20,#15-16,Suite 02 phong ngu (06 khach),50m2,6,4287000,0,View san vuon xanh mat
